id,name,addr,network,type,balance,ticker,value,change24h,txCount,lastActive
49,Wallet #050,0x7e5671eb2da6400898eb6ccec04060f906bd35be,ethereum,whale,89514.93190250041,ETH,389220784.76876223,-11.012780243827576,218444,2026-05-08T09:48:08.849328
64,Wallet #065,0xc0f43e34e6af09efab15af992726f3697a846793,ethereum,whale,83488.15066447189,ETH,329769550.5384519,1.8230923285276326,170782,2026-04-28T18:46:43.624515
57,Wallet #058,0x12d90c2f8f340415aef770a5a785d4fc70a7b092,ethereum,whale,29569.609837587483,ETH,129207692.73099694,-11.868429020298166,312565,2026-05-04T13:41:24.119392
180,Wallet #181,0xfe713412c982588b1f26bae6570d5c6572c49369,ethereum,whale,8153.6863562791395,ETH,38659329.19048532,-7.79568097318694,346115,2026-04-25T05:43:08.392440
184,Wallet #185,0xff0daf0e0c5a5e9a7ce7794c5b93e95cfabed6c6,ethereum,whale,9005.528789743961,ETH,36478086.448222935,17.748439037790472,450140,2026-04-23T07:30:33.348478
98,Wallet #099,0xc735807837a4df288a917364e00b3849093a788c,ethereum,whale,4615.311087135356,ETH,17922278.803513028,9.715967406790476,481326,2026-05-16T00:00:56.578705
118,Wallet #119,0x0c259f22d40065a9ddc34fa4ac37f68c45754c33,ethereum,whale,2452.2900400342255,ETH,10265615.946500609,-6.993633423515828,6058,2026-05-08T04:57:57.159703
467,Wallet #468,0xc45bf423d50196d4bda022ca063558e16c544290,ethereum,whale,1154.7400721278457,ETH,4813064.088672356,15.246346003570487,360454,2026-05-06T10:30:17.248040
449,Wallet #450,0x8fe54455014949fa99738bc7a026d21e92f33e93,ethereum,whale,1150.3171643770306,ETH,4557968.3469256535,10.595174709755032,436455,2026-05-05T22:04:30.477812
280,Wallet #281,0x1f51017da9a5696aa7255559c7ed280d9657ab0b,ethereum,whale,967.5146704523723,ETH,4541217.836454997,-8.227583487403713,56233,2026-04-27T20:46:43.436328
285,Wallet #286,0x4279272cafcbbff7ca71b97ea88e0616bb1a2183,ethereum,whale,870.1051406696545,ETH,4527780.577252531,-8.053543121941,348761,2026-05-11T15:01:50.792734
269,Wallet #270,0xbdf5ec826cd788f0a11734639453587dc1d59d58,ethereum,whale,826.6170092396391,ETH,4453689.687200899,-6.292493043075173,199712,2026-05-20T00:23:42.983143
431,Wallet #432,0x3aa7dc89abc19c4b048274a50c195e455c3653bd,ethereum,whale,1018.7557916239601,ETH,3874356.1124235573,4.107927470036522,330676,2026-05-17T14:26:13.649023
376,Wallet #377,0x3d2063565972e1a6d86592e0328434ca921a4f53,ethereum,whale,790.1434048819918,ETH,3783125.068556494,3.1975545466592514,189118,2026-05-16T21:23:21.083487
478,Wallet #479,0x2efd4544c69e2fc6242cea161c95a85421ab8062,ethereum,whale,882.6613944340465,ETH,3578842.3983560167,17.503711397706684,473848,2026-04-23T03:31:44.716950
216,Wallet #217,0xdb5a0db05f73b7ae6629c6cce8498a246a8821ee,ethereum,whale,695.4311941263506,ETH,3353262.7650777875,16.640140161092276,419520,2026-04-26T07:50:47.166199
475,Wallet #476,0xc63932916610d2dc4e0bf770f8f73ea2b2129f2b,ethereum,whale,566.0330029393683,ETH,2869118.070718998,8.473796999351173,296168,2026-04-26T09:13:24.252749
242,Wallet #243,0x8bda66578f40f6dfd4a6d133034403825371c888,ethereum,whale,528.7345048563776,ETH,2609357.7537082555,15.68940345039335,315944,2026-05-05T02:41:19.405008
286,Wallet #287,0xafd57427e86ff84d2f4c656171b2df4a49270934,ethereum,whale,556.574118434338,ETH,2325702.9035987193,5.194042634437,36808,2026-05-08T02:45:27.682745
395,Wallet #396,0xd9a6651f8d78c890c27c5e55039d60b04475cd86,ethereum,whale,462.8206449916653,ETH,2102438.831479125,7.122323143047051,114963,2026-05-06T16:10:25.361730
